id,title,description,borough,neighborhood,address,price,beds,baths,sqft,property_type,available_from,lease_term,image_url,listing_url,latitude,longitude,pet_friendly,furnished,has_doorman,has_laundry,near_subway,allows_guarantors,featured
7923020054,🔥Sexy SoHa 3BR*WD*Sunny*RENO*Prime W 120s*NoFEE*HOT!🔥,"Live beautifully in this fully renovated 3-bedroom gem in prime South Harlem, just moments from Columbia University and some of the neighborhood's hottest new destinations, including Whole Foods, Trader Joe's, Target, and more! Apartment Features - Thoughtfully renovated with a sleek, modern aesthetic - Stylish designer kitchen with full-size stainless steel appliances, including dishwasher and microwave - Spacious full- and queen-size bedrooms, each with custom closets - Beautifully tiled, modern bathroom - Top floor, four flights walk up: No one above you, the most natural light, and the least foot traffic. - Gleaming hardwood floors and recessed lighting throughout - In-unit washer and dryer for ultimate convenience - Top floor! Only four flights walk up - You get the arched windows and most sunlight! - Friendly and responsive live-in super - Guarantors and Rhino welcome Neighborhood Highlights - Steps from Harlem's Restaurant Row on Frederick Douglass Blvd-home to beloved spots like Melba's, Lido, Barawine, Harlem Tavern, and Vinateria - Near Lenox Ave's booming retail corridor with Whole Foods, Trader Joe's, Target, Sephora, H&M, and more - Close to St. Nicholas Park, Morningside Park, and Marcus Garvey Park for weekend escapes - Minutes from the A, B, C, D, 2, 3 express trains and Metro-North, getting you to Midtown in under 15 minutes This pet-friendly home combines modern upgrades with unbeatable Harlem energy. Fast, easy online application process. Come experience the best of Harlem living-schedule your tour today! NOTE: Applicants will pay a $20 application / credit check fee per applicant. Due at lease signing once approved will be first month's rent and security deposit. Photos may be from a similar unit and digitally staged/enhanced. Lease may state a higher amount with upfront credits.",Manhattan,craigslist,WEST 123 ST near Adam Clayton Powell Blvd,3895,0,1,0,Apartment,,12 months,https://images.craigslist.org/01717_cnbAitnPx2M_0k80dq_600x450.jpg,https://newyork.craigslist.org/mnh/apa/d/new-york-sexy-soha-3brwdsunnyrenoprime/7923020054.html,40.806469,-73.946438,True,False,False,False,True,True,False
7923027851,"Lovely East Vil XL 1br, laundry, elevator, gym, yard, VIDEO!","GORGEOUS APARTMENT, FANTASTIC PRICE AVAILABLE ASAP OR APR 15 NO BROKER FEE LIGHT AND SPACE ALL DAY LONG BRAND NEW FULL GUT RENO! LOVELY KING SIZED 1BR WITH SWEEPING TREE AND GARDEN VIEWS FANTASTIC CLOSET SPACE OPEN KITCHEN W/ DISHWASHER AND ISLAND THROUGH WALL A/C'S AND THERMOSTAT IN BOTH ROOMS IN UNIT LAUNDRY LOVELY WINDOWED GYM LARGE SHARED COURTYARD ELEVATOR BIKE STORAGE LIVE IN SUPER PETS WELCOME TEXT PAM AND JULIA AT 516.361.5142 TO SCHEDULE AN IN PERSON OR VIRTUAL SHOWING VIDEO OF APARTMENT HERE - THE UNIT AVAILABLE IS THIS EXACT APARTMENT LAYOUT ON A LOWER FLOOR WITH FULL TREE AND GARDEN VIEWS: https://youtu.be/igDiY1Xuafs?si=4VBIaIhbsicwEigs VIDEO OF COMMON SPACES HERE: https://youtu.be/gAAzuItwIz8?feature=shared WE ALSO HAVE A 7TH FLOOR CORNER 1BR COMING UP HERE FOR $4095 Hi everyone! We have a gorgeous, great sized one bedroom apartment in a lovely modern building with free amenities available for a lease starting late Feb or March 1, on the border of East Village and LES. Spacious living area and bedroom, awesome kitchen with island, new appliances and dishwasher, multiple large closets throughout the unit and large bathroom with full tub. Easily work from home here as the apartment accommodates work from home stations in each room. Great for couples! Modern and clean. Laundry in building, large shared courtyard, bike storage, gorgeous windowed gym, elevator, and package room round out this deal nicely. Beautiful lobby, extremely secure and immaculately kept building, nice street and quiet area. The apartment is located close to many popular spots – Plado, Poco, Pardon My French, The Commodore, Niagara, The Wayland, Summit Bar, Supper, Lil Frankies, Nublu - enjoy the neighborhood's awesome food and bar scene. Huge supermarket less than 3 minute walk, 24 hour Duane Reade one block away, endless great food and drink options throughout the entire neighborhood, and beautiful Tompkins Square Park is only a 5 minute walk away. The FJMZ trains at 2nd Ave Station and Essex Station are an easy ~8 minute walk, or a 3 minute bus ride, and there is a Citibike station right on the corner as well. The B,D,M,6 and L trains are also accessible within a reasonable distance. The M9 bus on the corner goes from Kips Bay to FIDI /Battery Park City, the M21 crosstown bus is also right on the corner, and the M14D bus which runs crosstown across 14th street is a block away. This is a residential NYC neighborhood with tons of supermarkets, drycleaners, hardware stores, take-out spots, 24 hr bodegas, etc. Nice walk to West Village, Union Square, Soho, Nolita, Little Italy, etc. Reputable local landlord requires first month rent and one month security and out of US-based guarantors are accepted if needed. One year lease minimum, no short term. We are a five-star rated long-time local realtor specializing in the areas we know and love best, happy to help our clients successfully navigate competitive markets. The landlord requires that we ask prospective tenants a few questions before showing the unit, text 516.361.5142 for immediate response, otherwise if you need to email please add a US contact number. Thank you! Cheers, Pam and Julia 516.361.5142 $20 CREDIT CHECK FEE",Manhattan,craigslist,"New York, NY",4450,0,1,0,Apartment,,12 months,https://images.craigslist.org/00O0O_cMysGZjldID_0bC07w_600x450.jpg,https://newyork.craigslist.org/mnh/apa/d/new-york-lovely-east-vil-xl-1br-laundry/7923027851.html,40.726200,-73.979600,True,False,False,True,True,True,False
7923040317,"118-17 Union Turnpike, #2E, OPEN HOUSE, SUN. 3/29, 11 - 12PM BY APPT.","BY APPOINTMENY ONLY!!! SHOWCASE HOME in a Top-of-the-Line Building! Fall in love with this stunning, oversized 1-bedroom co-op sublet featuring smart finishes and a state-of-the-art kitchen. Enjoy a lifestyle of luxury with unrivaled amenities: • Elite Service: 24-hour Doorman, Concierge, and Attendant Parking. • Outdoor Bliss: New roof deck with skyline views & a private park for summer BBQs. • Prime Location: Steps from world-class dining, fashion, theater, tennis, and golf. • Convenience: Designer lobby, laundry on-site, and easy NYC transit. Rare Opportunity! Low monthly rent for a trophy home. • Co-op Sublet (Board approval required) • NO PETS ALLOWED Contact Anna Pinto Realty at 917-515-4704 for details today! VIDEO: https://youtu.be/u6udtr47yfA",Manhattan,...,118-17 Union Turnpike near Burns Street,2550,0,1,0,Apartment,,12 months,https://images.craigslist.org/00202_89XiZebPf2s_0jm0cU_600x450.jpg,https://newyork.craigslist.org/que/apa/d/kew-gardens-union-turnpike-2e-open/7923040317.html,40.712850,-73.834498,True,False,True,True,False,False,False
7923046573,Huge 1 Bed Riverdale Area,"NO FEE – 1 Bedroom on West 238th Street | $2,240/Month Don’t miss this spacious 1-bedroom apartment located on West 238th Street in the Bronx. This unit offers a comfortable layout in a highly desirable neighborhood with easy access to transportation, shopping, and local amenities. ✨ Apartment Features: Spacious 1 Bedroom Bright living room with great natural light Separate kitchen with full appliances Good closet space Well-maintained building 📍 Prime West 238th Street Location Close to Riverdale & Kingsbridge shopping, supermarkets, and restaurants Convenient access to the 1 train and major bus routes Near Van Cortlandt Park and local parks Easy commute to Manhattan 💰 Rent: $2,240 Monthly 🚫 No Broker’s Fee Apartments in this area rent quickly, so serious inquiries are encouraged. 📞 Contact today to schedule a viewing. Philip: 7183-362-7164",Bronx,craigslist,"New York, NY",2240,0,1,0,Apartment,,12 months,,https://newyork.craigslist.org/brx/apa/d/bronx-huge-bed-riverdale-area/7923046573.html,40.879800,-73.906700,False,False,False,False,True,False,False
7923053093,Spacious 1 Bedroom Near Kingsbridge,"***Must Hire Broker*** Large 1-Bedroom Apartment on Bainbridge Avenue – Bronx, NY 💰 $1,800 Monthly Rent Welcome home to this spacious and well-maintained 1-bedroom apartment located on Bainbridge Avenue in the Bronx, NY. This inviting unit offers a comfortable layout with generous living space and great natural light—perfect for everyday living. ✨ Apartment Features: Oversized living room with excellent natural sunlight Large bedroom with ample closet space Eat-in kitchen with full-size appliances Updated bathroom Hardwood floors throughout Clean, well-maintained building 📍 Prime Location: Conveniently located near public transportation, including the 4 & D subway lines, making commuting a breeze. Close to Fordham Road shopping, restaurants, supermarkets, and neighborhood essentials. This apartment combines space, value, and convenience at an affordable price. 📞 Contact today to schedule a viewing—this unit won’t last! Philip: 718-362-7164",Bronx,craigslist,"New York, NY",1800,0,1,0,Apartment,,12 months,,https://newyork.craigslist.org/brx/apa/d/bronx-spacious-bedroom-near-kingsbridge/7923053093.html,40.863300,-73.889500,False,False,False,False,True,False,False
7923056736,Huge 2 Bedroom Near the Grand Concourse,"🔥 NO FEE – 2 Bedroom on East 175th Street | $2,500/Month 🔥 Don’t miss this spacious 2-bedroom apartment located on East 175th Street in the Bronx. This apartment offers a comfortable layout in a convenient location close to transportation, shopping, and everyday essentials. ✨ Apartment Features: Spacious 2 Bedrooms Bright living room with great natural light Separate kitchen with full appliances Ample closet space Well-maintained building 📍 Prime East 175th Street Location Close to shopping, supermarkets, and restaurants Convenient access to the B/D/4 subway lines and major bus routes Near schools, parks, and local services Easy commute to Manhattan 💰 Rent: $2,500 Monthly 🚫 No Broker’s Fee Well-priced 2-bedroom apartments like this rent quickly, so serious inquiries are encouraged. 📞 Contact today to schedule a viewing. Philip: 718-362-7164",Bronx,craigslist,"New York, NY",2500,0,1,0,Apartment,,12 months,,https://newyork.craigslist.org/brx/apa/d/bronx-huge-bedroom-near-the-grand/7923056736.html,40.848600,-73.899900,False,False,False,False,True,False,False
7923059582,Large 1 Bedroom Near Moses Medical Center,"🔥 NO FEE – 1 Bedroom on Reservoir Oval | $2,291/Month 🔥 Don’t miss this spacious 1-bedroom apartment located on Reservoir Oval in the Bronx. This apartment offers a comfortable layout in a well-connected neighborhood with easy access to transportation, shopping, and local amenities. ✨ Apartment Features: Spacious 1 Bedroom Bright living room with great natural light Separate kitchen with full appliances Good closet space Well-maintained building 📍 Prime Reservoir Oval Location Steps from Jerome Avenue shopping and restaurants Close to supermarkets, pharmacies, and everyday conveniences Convenient access to the 4 Train and major bus routes Near parks, schools, and neighborhood services Easy commute to Manhattan 💰 Rent: $2,291 Monthly 🚫 No Broker’s Fee Apartments in this area rent quickly, so serious inquiries are encouraged. 📞 Contact today to schedule a viewing. Philip: 718-362-7164",Bronx,craigslist,"New York, NY",2291,0,1,0,Apartment,,12 months,,https://newyork.craigslist.org/brx/apa/d/bronx-large-bedroom-near-moses-medical/7923059582.html,40.873700,-73.871200,False,False,False,False,True,False,False
7923063744,NO FEE-BEAUTIFL 2BR-LNDRY-SPAC LIV RM-GRAN BRFS BAR-QN BRS-MINT SS KIT,"👉”NO FEE” 👉Beautiful 2 Bedroom in a pristine building. 326 East 58th Street, #2D East Second Floor Move-in VIDEO: https://youtu.be/lGiJtjeV8TI APARTMENT FEATURES; “MINT” S/S Kitchen Beautiful Granite Breakfast Bar Spacious Living Room 2 Queen Size Bedrooms Freshly Delivered Full Bath A/C Provided for Your Comfort Good Closet Space Overhead Lighting Throughout High Ceilings Hardwood Floors Heat & Hot Water are Included *ADDITIONAL FEATURES; QUICK ACCESS TO; 4, 5, 6, E, F, M, N, Q, R, W Trains NYC Best “CENTRAL PARK” SUMMARIZING; SIMPLY Call MURPHY (ASAP) 917-691-4045 to arrange a tour & get additional details for this 👉”ACCOMMODATING” special 2 bedroom that provides total convenience excitement and a truly pleasant living lifestyle!!! *$20 application fee per applicant *first month rent and one month's security deposit with lease signing. Thank You, John Patrick Murphy MURPHY “LOVES” ❤️ NYC Licensed R. E. Broker Associate findrealestate.com 917-691-4045",Manhattan,...,East 58th Street,4100,0,1,0,Apartment,,12 months,https://images.craigslist.org/00i0i_dhLAkCOa6Xx_0jm0pO_600x450.jpg,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-beautifl-2br-lndry-spac/7923063744.html,40.758981,-73.962432,False,False,False,False,True,False,False
7923063779,LOFT LIKE GARDEN FLOOR IN CLASSIC BROWNSTONE GREAT FOR COUPLE,"Located in Morningside Heights on Manhattans Upper West SideVery conveniently located in Harlem's Morningside Heights neighborhood only 1 subway stop from 59th street from the A & D trains. Beautiful NYC Spacious Garden Floor Loft Style Space With Private Entrance. This is a 800+ square foot apartment plus an additional 462 square foot garden patio . 3 minute walk to the train. Newly renovated in a classic style with custom tile and wood floors and 1 ½ baths. This large open space has a murphy bed and a pull out futon. If you like to cook the space comes with a huge butcher block island and plenty of refrigeration. The space comes with Roku TV, high speed internet Manhattan has to offer but specifically the famous 125th Street where you have plenty of shopping, restaurants, landmarks, etc...Also this is only 1 block from beautiful Morningside Park as well as convenient to many Harlem landmarks like the Apollo Theater, Mintons Playhouse Jazz Club, AMC Magic Johnson Theater, Whole Foods Market, Silvias Soul Food, The Studio Museum, Levain Bakery, El Museo del Barrio, Bier International Pub, St John The Divine Cathedral, Abyssinian Baptist Church, northern Central Park, Schomberg Center For Research, 116th Street bar hop and restaurant row, etc....",Manhattan,craigslist,"New York, NY",3500,0,1,0,Loft,,12 months,https://images.craigslist.org/00909_3KgQP7O3u1v_0oc0g8_600x450.jpg,https://newyork.craigslist.org/mnh/apa/d/new-york-loft-like-garden-floor-in/7923063779.html,40.811600,-73.955000,False,False,False,False,True,False,False
7923106340,No Fee 1 Bed 1 ba Prime hells kitchen PRIV LG PATIO GARDEN /9297240948,No Fee one bed one bath prime Hells Kitchen Midtown West tree line block one bed fits full queen has a large private deck super modern renovated pet friendly laundry inside unit Virtual doorman dishwasher microwave 0948 Mobile: 929-724-0948,Manhattan,craigslist,"New York, NY",3695,0,1,0,Apartment,,12 months,https://images.craigslist.org/00j0j_2WT2gISHDmK_09G0cU_600x450.jpg,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-bed-ba-prime-hells/7923106340.html,40.726200,-73.979600,True,False,True,True,False,False,False
